"","hour_of_obs","fluxL_umolm2sec_LGR","fluxL_umolm2sec_fluxbot","fluxQ_umolm2sec_LGR","fluxQ_umolm2sec_fluxbot"
"60",2023-10-14,4.79989738514012,4.77190560678918,6.07884871267867,6.16641856594529
"61",2023-10-14 01:00:00,2.62027845299423,3.0760606231602,11.6369390980832,9.98442193045617
"62",2023-10-14 02:00:00,4.92069333581203,4.9148509424656,6.22967259764708,5.98871419431461
"63",2023-10-14 03:00:00,5.02136487962195,5.08963723819546,6.32089445896715,6.27749558566977
"64",2023-10-14 04:00:00,5.0793495254201,NA,6.49220032874901,NA
"65",2023-10-14 05:00:00,5.15350814201298,5.35531795759615,6.5248262661797,7.44819300260783
"66",2023-10-14 06:00:00,5.26546678157207,5.36527943360492,6.64224877694395,7.06140468629978
"67",2023-10-14 07:00:00,5.29536112097008,5.43883088791986,6.72705729296662,7.34666503402554
"68",2023-10-14 08:00:00,3.27917288427578,3.72233114701642,10.9125895551886,10.1963710026868
"69",2023-10-14 09:00:00,5.53787018370621,5.63523750650374,7.01331360467579,7.33985435090698
"70",2023-10-14 10:00:00,5.597804645782,5.63849963876862,7.15461556251242,7.38646027677865
"71",2023-10-14 11:00:00,5.69069722718944,5.94033942759731,7.17133724443552,7.82078473217559
"72",2023-10-14 12:00:00,5.79923169417727,5.71198480791034,7.43005397023639,6.07733356536113
"73",2023-10-14 13:00:00,5.87622045865356,5.89014636757021,7.42022080714165,7.76770662167023
"74",2023-10-14 14:00:00,5.92381896053991,5.95834202022661,7.53089678975111,7.85328071565238
"75",2023-10-14 15:00:00,6.05513333995162,6.16728183809772,7.62282774336403,8.20769252746867
"76",2023-10-14 16:00:00,6.10845385087382,6.24932166173107,7.76766284153279,8.56190133463087
"77",2023-10-14 17:00:00,6.15087080417718,6.0859712921968,7.81340521667736,7.92693383664811
"78",2023-10-14 18:00:00,6.25974168713268,NA,7.99135387392415,NA
"79",2023-10-14 19:00:00,5.86652782704926,5.73114021407697,0.751823971134331,-1.45063823368139
"80",2023-10-14 20:00:00,6.26628235054183,6.27492554238488,7.99685958811037,8.1524252416811
"81",2023-10-14 21:00:00,6.34836306065168,6.27571511768983,8.02795665359277,7.88006459701192
"82",2023-10-14 22:00:00,6.31229234890757,6.41650486880056,7.99032354039443,8.61158523500893
"83",2023-10-14 23:00:00,6.42563861913191,6.48180120725429,8.19085342693997,8.53305982461528
"84",2023-10-15,6.41485525607896,6.63807511143693,8.08177760788656,8.14786500011648
"85",2023-10-15 01:00:00,6.44596108680772,6.44120145516367,8.30621572935202,8.62435699085463
"86",2023-10-15 02:00:00,6.50216022439535,NA,8.1661862867455,NA
"87",2023-10-15 03:00:00,6.4687813310538,NA,8.29491916965246,NA
"88",2023-10-15 04:00:00,6.61629811831244,6.70432566317659,8.36966807530627,8.3643681582975
"89",2023-10-15 05:00:00,6.50553920949218,NA,8.30709463127038,NA
"90",2023-10-15 06:00:00,6.60238108577203,NA,8.43807069253555,NA
"91",2023-10-15 07:00:00,6.56974871171562,6.66695498217745,8.38246176188958,9.30432492492302
"92",2023-10-15 08:00:00,6.58871843048075,6.70278402913149,8.34815201261663,8.45956823974816
"93",2023-10-15 09:00:00,6.61952403919996,6.69539800575828,8.35447605924355,8.3497654443369
"94",2023-10-15 10:00:00,6.63054915153589,6.54482093420312,8.44425245609279,8.70549046675963
"95",2023-10-15 11:00:00,6.72587243083342,NA,8.47422822753515,NA
"96",2023-10-15 12:00:00,6.87384002737844,6.70605585207842,8.73118176482054,8.76853190455361
"97",2023-10-15 13:00:00,7.37143202361397,7.37554193934146,9.0974819096215,9.40056531263763
"98",2023-10-15 14:00:00,7.65623030784751,7.63644063170951,9.58518481948274,9.42290265048273
"99",2023-10-15 15:00:00,7.74814194228359,7.48794880801112,9.69082327316963,9.48644262881511
"100",2023-10-15 16:00:00,7.64765064444837,7.70950577508063,9.68668643503634,9.47391704526026
"101",2023-10-15 17:00:00,7.5414144485219,7.64451897560858,9.52868351021379,9.68729336063795
"102",2023-10-15 18:00:00,7.49920861699117,7.63566780996803,9.47275742006556,9.45290090591306
"103",2023-10-15 19:00:00,7.35429227068736,7.50027744816018,9.30410001576501,9.4868410681138
"104",2023-10-15 20:00:00,7.30087112219925,7.20985437004231,9.29931245404441,9.66006603086137
"105",2023-10-15 21:00:00,7.24983081270702,7.40408584566996,9.13277270911834,9.28503800449779
"106",2023-10-15 22:00:00,7.13507055644452,7.14998538660864,9.11029413277597,9.69283956148394
"107",2023-10-15 23:00:00,7.16741087224707,7.44550830937121,9.08808152171658,9.77073892224403
"108",2023-10-16,7.12045267994325,7.2572818563541,9.12801985723465,9.12716408182219
"109",2023-10-16 01:00:00,7.02028039017884,6.9025010199074,8.83803907590694,8.82837715092924
"110",2023-10-16 02:00:00,7.11297843541041,7.25028164591491,9.10725856619475,9.14712545101573
"111",2023-10-16 03:00:00,6.97368405259321,6.86970547096958,8.76272035736719,8.99335812654363
"112",2023-10-16 04:00:00,7.01894877897011,6.89028171895174,8.97461690660464,9.01279766825212
"113",2023-10-16 05:00:00,7.005192117551,6.98454996623357,8.80402416189734,9.22484775046007
"114",2023-10-16 06:00:00,6.92225526228688,6.756672529444,8.83122355241538,8.68554810924152
"115",2023-10-16 07:00:00,6.96049068481509,7.02676723781323,8.71848638283768,8.48672772576037
"116",2023-10-16 08:00:00,6.93584801323371,6.8175489682993,8.91059219154754,8.95592223713569
"117",2023-10-16 09:00:00,6.8488072264879,6.98015324093899,8.65144167904803,8.51503987016
"118",2023-10-16 10:00:00,6.87243929681065,6.96646457355765,8.7844497339707,8.56815877229618
"119",2023-10-16 11:00:00,6.98953955960252,7.12484533357412,8.85240220108682,9.1193877734593
"120",2023-10-16 12:00:00,7.0434616411276,6.92419748140109,8.98630368381954,9.04185273118636
"121",2023-10-16 13:00:00,7.10433718950245,7.27198655015218,8.92734531204159,9.27571460137651
"122",2023-10-16 14:00:00,7.20115545747594,7.30066496184144,9.19904147326349,10.0555293618683
"123",2023-10-16 15:00:00,7.18935508968282,NA,9.10519374609215,NA
"124",2023-10-16 16:00:00,7.24921849343013,7.29256355852383,9.2842999002962,9.18686474946632
"125",2023-10-16 17:00:00,7.22547716722857,7.15946966379881,9.07476377265282,9.66104397158416
"126",2023-10-16 18:00:00,7.193041335949,7.3014737355751,9.19306890618131,9.37496264941396
"127",2023-10-16 19:00:00,7.15330162258636,7.33494194840326,9.07438157591605,9.31541602671843
"128",2023-10-16 20:00:00,7.06397022368195,7.23352069629592,9.04283007447723,9.20056338832823
"129",2023-10-16 21:00:00,7.0849848559313,7.23400995077636,8.9154808916763,9.32146371756387
"130",2023-10-16 22:00:00,7.08315872361349,7.18833384845048,9.0132907077683,9.1218055354164
"131",2023-10-16 23:00:00,7.03119859912427,NA,9.05310754127865,NA
"132",2023-10-17,6.9915646163404,7.24890334960396,8.85536748176892,9.30671247802768
"133",2023-10-17 01:00:00,7.00089160660606,6.98063105916969,8.88378576946407,9.34310944116418
"134",2023-10-17 02:00:00,6.89037159274226,6.82412222681877,8.70711619899649,8.42742808823901
"135",2023-10-17 03:00:00,6.95757972435955,6.92028800088108,8.9306994442287,9.26964836823892
"136",2023-10-17 04:00:00,7.81008456307601,8.02571108123824,7.95911898128918,8.43343306130007
"137",2023-10-17 05:00:00,6.89226538344142,6.804905045778,8.73153908232982,8.98578000038882
"138",2023-10-17 06:00:00,6.80620649329735,6.84985612732506,8.63053917033364,9.21235340739149
"139",2023-10-17 07:00:00,6.84606560499668,6.91135431750992,8.75240794970594,9.48349517646926
"140",2023-10-17 08:00:00,6.90115010719864,NA,8.79816239472915,NA
"141",2023-10-17 09:00:00,6.84935715945711,7.0895935493733,8.72162923508982,9.2590757623852
"142",2023-10-17 10:00:00,6.82181724326741,6.9278461768701,8.62430511928729,9.25975182818114
"143",2023-10-17 11:00:00,6.90594427927019,NA,8.78581908931628,NA
"144",2023-10-17 12:00:00,6.98760787984845,7.18799017263111,8.76307150492935,9.07111658517752
"145",2023-10-17 13:00:00,7.40416413890037,7.43814210126962,9.42165837136561,10.0004113750845
"146",2023-10-17 14:00:00,7.60086151545447,7.7332767812897,9.64670414006443,10.151917210718
"147",2023-10-17 15:00:00,7.59804149551014,7.60947302464066,9.70069469011629,10.4605995229224
"148",2023-10-17 16:00:00,7.63722580220196,7.86928096484383,9.62954696234912,10.3356957374297
"149",2023-10-17 17:00:00,7.6298896454371,7.86473297483646,9.6590292876523,10.0128075226351
"150",2023-10-17 18:00:00,7.5954306036334,7.86200711693787,9.5521985743833,10.0247298405249
"151",2023-10-17 19:00:00,7.52069125796366,7.83812183318443,9.65005218898254,9.95660103874336
"152",2023-10-17 20:00:00,7.46767134460857,7.93681500013606,9.44826362452544,11.0961527494015
"153",2023-10-17 21:00:00,7.33709930684067,7.5425699824139,9.4225046696898,10.5117866117854
"154",2023-10-17 22:00:00,7.37585959425524,NA,9.35407324709599,NA
"155",2023-10-17 23:00:00,7.350825652296,7.58699834769722,9.3647652452591,9.73869709541935
"156",2023-10-18,7.23332657119574,7.54340710825903,9.17447914313799,9.98295430568497
"157",2023-10-18 01:00:00,7.21007437720746,NA,9.29698406163984,NA
"158",2023-10-18 02:00:00,7.24835972932405,7.21576192272217,9.20855584146579,9.7728722378171
"159",2023-10-18 03:00:00,7.10192017715744,7.64483049251268,3.41233505839296,5.1226967121026
"160",2023-10-18 04:00:00,7.17890350735005,7.40867853820725,9.0844103322025,9.84117576134322
"161",2023-10-18 05:00:00,7.12403059516511,7.34414943215776,9.09489416931341,9.71380729946503
"162",2023-10-18 06:00:00,7.12010288289875,7.46787215640571,9.11502873676174,10.4653935775721
"163",2023-10-18 07:00:00,7.13537303075507,7.16845320287164,9.06169179342628,9.999367391091
"164",2023-10-18 08:00:00,4.52626564520555,4.87797915037219,16.9421750795774,16.1246716935855
"165",2023-10-18 09:00:00,7.0946423974724,7.35623841884042,8.97499076684266,9.91552673425887
